Country_Name,Country_Code,Continent,Birth_rate_60,Death_rate_60,Birth_rate_90,Death_rate_90,Birth_rate_15,Death_rate_15
Saudi Arabia,SAU,Middle East & North Africa,47.577,20.319,35.517,4.917,19.688,3.418
Sudan,SDN,Sub-Saharan Africa,46.403,17.514,41.744,12.026,32.645,7.662
Senegal,SEN,Sub-Saharan Africa,50.444,26.053,43.519,11.413,37.522,5.99
Singapore,SGP,East Asia & Pacific,37.5,6.2,18.2,4.7,9.7,4.8
Solomon Islands,SLB,East Asia & Pacific,40.782,15.668,39.996,11.002,29.298,5.7
Sierra Leone,SLE,Sub-Saharan Africa,46.114,33.289,46.427,26.517,35.445,13.268
El Salvador,SLV,Latin America & Caribbean,47.381,17.073,30.904,8.109,17.175,6.833
Somalia,SOM,Sub-Saharan Africa,47.651,26.751,48.453,19.821,43.373,11.807
South Sudan,SSD,Sub-Saharan Africa,50.945,32.461,47.463,20.749,36.397,11.352
Sao Tome and Principe,STP,Sub-Saharan Africa,47.615,17.793,39.577,10.044,33.532,6.814
Suriname,SUR,Latin America & Caribbean,45.47,11.369,27.679,7.239,17.946,7.461
Slovak Republic,SVK,Europe & Central Asia,21.7,7.8,15.1,10.3,10.3,9.9
Slovenia,SVN,Europe & Central Asia,17.6,9.6,11.2,9.3,10,9.6
Sweden,SWE,Europe & Central Asia,13.7,10,14.5,11.1,11.7,9.3
Swaziland,SWZ,Sub-Saharan Africa,47.621,20.169,43.31,9.587,29.372,14.485
Syrian Arab Republic,SYR,Middle East & North Africa,48.172,15.641,35.75,4.636,22.509,5.715
Chad,TCD,Sub-Saharan Africa,45.785,26.546,50.991,19.007,44.792,13.799
Togo,TGO,Sub-Saharan Africa,47.479,24.13,42.589,12.067,35.068,8.699
Thailand,THA,East Asia & Pacific,42.737,13.18,19.189,5.709,10.532,8.028
Tajikistan,TJK,Europe & Central Asia,46.942,15.101,40.412,9.825,30.225,5.568
Turkmenistan,TKM,Europe & Central Asia,44.664,15.801,35.313,8.831,20.842,7.789
Timor-Leste,TLS,East Asia & Pacific,46.025,29.311,43.367,15.717,37.097,6.809
Tonga,TON,East Asia & Pacific,47.175,9.034,31.092,5.963,24.331,5.985
Trinidad and Tobago,TTO,Latin America & Caribbean,37.333,8.939,20.707,7.56,13.979,9.507
Tunisia,TUN,Middle East & North Africa,45.474,23.266,25.955,6.279,17.94,6.593
Turkey,TUR,Europe & Central Asia,46.243,20.494,26.03,8.213,16.489,5.735
Tanzania,TZA,Sub-Saharan Africa,49.296,20.502,44.061,15.135,38.535,6.682
Uganda,UGA,Sub-Saharan Africa,49.557,20.704,49.793,18.727,42.528,9.324
Ukraine,UKR,Europe & Central Asia,21.011,8.674,12.7,12.1,10.7,14.9
Uruguay,URY,Latin America & Caribbean,22.075,9.735,18.292,9.788,14.148,9.344
United States,USA,North America,23.7,9.5,16.7,8.6,12.4,8.2
Uzbekistan,UZB,Europe & Central Asia,46.977,13.7,33.7,6.1,23.5,4.9
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,47.877,13.482,24.84,6.656,15.776,7.127
"Venezuela, RB",VEN,Latin America & Caribbean,46.461,10.017,29.05,5.289,19.268,5.567
Virgin Islands (U.S.),VIR,Latin America & Caribbean,35,10,21.4,4.625,10.3,8.5
Vietnam,VNM,East Asia & Pacific,42.165,12.044,28.688,6.362,16.941,5.847
Vanuatu,VUT,East Asia & Pacific,48.783,18.312,36.076,8.133,26.167,4.718
Samoa,WSM,East Asia & Pacific,48.133,14.566,33.118,7.267,25.097,5.334
"Yemen, Rep.",YEM,Middle East & North Africa,49.778,30.382,52.125,11.567,31.889,6.829
South Africa,ZAF,Sub-Saharan Africa,41.719,16.993,29.27,7.954,20.415,12.409
Zambia,ZMB,Sub-Saharan Africa,49.279,19.641,46.389,18.659,39.672,8.671
Zimbabwe,ZWE,Sub-Saharan Africa,48.183,15.601,37.249,8.894,34.521,9.086
